nodeID, x_location, y_location, parentID, parent_x_location, parent_y_location
852, 95.98751, 60.156834, 343, 97.58448, 54.3695
768, 89.559654, 57.20925, 13, 91.72988, 57.412563
12, 65.252, 33.860367, 46, 60.62179, 38.835567
366, 65.80303, 37.018684, 46, 60.62179, 38.835567
140, 54.304497, 71.20252, 846, 53.784283, 76.602745
354, 96.87777, 60.10235, 497, 98.753876, 51.72544
852, 95.98751, 60.156834, 497, 98.753876, 51.72544
13, 91.72988, 57.412563, 497, 98.753876, 51.72544
997, 99.537384, 84.77425, 690, 93.82004, 87.8063
49, 98.91858, 86.19898, 748, 93.66836, 90.548325
653, 99.75519, 93.322914, 748, 93.66836, 90.548325
329, 94.80024, 90.46135, 748, 93.66836, 90.548325
513, 99.25898, 90.94648, 748, 93.66836, 90.548325
714, 93.74496, 59.41829, 1000, 93.23032, 63.295242
852, 95.98751, 60.156834, 1000, 93.23032, 63.295242
354, 96.87777, 60.10235, 1000, 93.23032, 63.295242
74, 85.53468, 54.151802, 439, 87.50327, 52.861076
353, 56.743008, 67.51911, 350, 52.394764, 64.28898
262, 83.571335, 61.55319, 284, 85.95934, 61.915733
171, 84.29493, 57.507828, 284, 85.95934, 61.915733
945, 84.23879, 57.453358, 284, 85.95934, 61.915733
74, 85.53468, 54.151802, 240, 88.62351, 53.11265
493, 99.76162, 71.15564, 712, 95.42443, 74.32138
49, 98.91858, 86.19898, 594, 92.58098, 86.788315
544, 97.585396, 80.53205, 931, 95.003395, 80.33851
511, 98.199326, 76.83351, 931, 95.003395, 80.33851
484, 77.53049, 65.77293, 473, 76.03433, 72.02624
343, 97.58448, 54.3695, 855, 98.45323, 49.329926
493, 99.76162, 71.15564, 873, 94.6916, 75.11573
259, 97.208916, 95.3569, 598, 91.31824, 94.43313
259, 97.208916, 95.3569, 498, 92.27134, 90.30688
329, 94.80024, 90.46135, 498, 92.27134, 90.30688
653, 99.75519, 93.322914, 498, 92.27134, 90.30688
690, 93.82004, 87.8063, 498, 92.27134, 90.30688
763, 95.22051, 88.50415, 498, 92.27134, 90.30688
90, 97.965744, 66.88957, 265, 94.316986, 70.21382
371, 98.52463, 69.53068, 265, 94.316986, 70.21382
493, 99.76162, 71.15564, 265, 94.316986, 70.21382
816, 99.29285, 66.52384, 265, 94.316986, 70.21382
511, 98.199326, 76.83351, 173, 93.90031, 80.93773
544, 97.585396, 80.53205, 173, 93.90031, 80.93773
49, 98.91858, 86.19898, 415, 93.470924, 82.10194
544, 97.585396, 80.53205, 415, 93.470924, 82.10194
673, 98.15962, 82.46284, 415, 93.470924, 82.10194
997, 99.537384, 84.77425, 415, 93.470924, 82.10194
13, 91.72988, 57.412563, 213, 88.839096, 61.068794
79, 83.97495, 60.816097, 213, 88.839096, 61.068794
768, 89.559654, 57.20925, 213, 88.839096, 61.068794
803, 87.353645, 57.572697, 213, 88.839096, 61.068794
237, 95.797516, 96.42566, 223, 89.640976, 95.91413
560, 98.172874, 97.11107, 223, 89.640976, 95.91413
371, 98.52463, 69.53068, 870, 92.58685, 67.26505
816, 99.29285, 66.52384, 870, 92.58685, 67.26505
830, 99.03853, 63.854572, 870, 92.58685, 67.26505
465, 93.59756, 63.42782, 870, 92.58685, 67.26505
90, 97.965744, 66.88957, 870, 92.58685, 67.26505
990, 95.19065, 65.24597, 870, 92.58685, 67.26505
237, 95.797516, 96.42566, 96, 89.450066, 95.80595
560, 98.172874, 97.11107, 96, 89.450066, 95.80595
632, 35.50333, 74.406654, 296, 34.287052, 75.7084
706, 37.13786, 73.2217, 296, 34.287052, 75.7084
763, 95.22051, 88.50415, 579, 90.53306, 86.13482
61, 52.474014, 74.50931, 631, 53.16896, 77.26556
240, 88.62351, 53.11265, 487, 90.51583, 50.50861
439, 87.50327, 52.861076, 487, 90.51583, 50.50861
821, 85.180595, 48.080406, 487, 90.51583, 50.50861
134, 84.733345, 48.998367, 487, 90.51583, 50.50861
757, 86.16567, 53.52059, 487, 90.51583, 50.50861
343, 97.58448, 54.3695, 543, 95.21253, 47.523518
9, 92.07901, 50.341385, 543, 95.21253, 47.523518
487, 90.51583, 50.50861, 543, 95.21253, 47.523518
511, 98.199326, 76.83351, 583, 93.16161, 74.618225
665, 98.60511, 72.424706, 583, 93.16161, 74.618225
712, 95.42443, 74.32138, 583, 93.16161, 74.618225
786, 97.63345, 75.38345, 583, 93.16161, 74.618225
873, 94.6916, 75.11573, 583, 93.16161, 74.618225
787, 59.323578, 62.18631, 851, 55.049534, 59.908115
169, 56.7685, 58.617767, 851, 55.049534, 59.908115
448, 57.13572, 60.72574, 851, 55.049534, 59.908115
249, 58.518166, 58.218136, 851, 55.049534, 59.908115
79, 83.97495, 60.816097, 794, 86.77268, 64.545235
262, 83.571335, 61.55319, 794, 86.77268, 64.545235
489, 99.979256, 48.037224, 471, 97.014465, 43.992313
497, 98.753876, 51.72544, 471, 97.014465, 43.992313
543, 95.21253, 47.523518, 471, 97.014465, 43.992313
855, 98.45323, 49.329926, 471, 97.014465, 43.992313
908, 53.395817, 67.45574, 828, 51.106407, 65.10693
213, 88.839096, 61.068794, 678, 89.34743, 64.19993
284, 85.95934, 61.915733, 678, 89.34743, 64.19993
714, 93.74496, 59.41829, 678, 89.34743, 64.19993
102, 87.13221, 46.46994, 905, 88.990425, 46.4798
625, 87.746956, 47.910976, 905, 88.990425, 46.4798
840, 85.06077, 45.418583, 905, 88.990425, 46.4798
821, 85.180595, 48.080406, 905, 88.990425, 46.4798
487, 90.51583, 50.50861, 905, 88.990425, 46.4798
9, 92.07901, 50.341385, 905, 88.990425, 46.4798
134, 84.733345, 48.998367, 905, 88.990425, 46.4798
